,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
2005,18287.24,2302890,5744550,15191582,4256677,712.5,1302159,20670012,29906295,4088545,534.75,6772629,54160,373397
2006,19850.66,2346536,5994973,16963824,4694234,728.9,1285022,24689504,35267485,4767231,637.62,7532573,62930,455820
2007,22469.22,2382491,6236312,18633437,5271258,753.7,1495247,28665860,41868391,8389925,734.94,8961040,70284,596693
2008,25316.72,2425582,6529045,21055373,5459185,798.2,1548659,32750141,49361427,8431405,818.73,10251127,77165,756412
2009,27609.59,2474396,6791495,26598516,5670810,778.2,1558600,34601705,55307126,11076649,766.85,11439796,79457,732282
2010,30658.49,2526804,7110695,32635731,6258983,803.1,1686203,40532998,64187541,13991612,1037.68,13354746,86582,935248
2011,34438.08,2595686,7644827,34122005,6635544,847.3,1800454,46326780,73869680,15351387,1161.68,17486373,95830,1061594
2012,38053.52,2646091,7945771,37583868,6941253,872.7,1854415,47731922,82360533,15796804,1171.67,20305943,103123,1075045
2013,42049.14,2706068,8251070,44545508,7106910,895.4,1961339,53184480,95358212,20881374,1188.96,21724541,116825,1155923
2014,45791.51346,2765020,8749630,48895026,7658542,916,2008134,56478499,102872903,23188414,1305.9,23881767,124088,1385753
2015,46734.6,2802675,9279096,54059522,7793233,931.6,2065218,57771661,113636845,23913268,1338.68,25674928,130522,1493552
2016,50940.7,2871024,9800359,57035860,8235701,956.8,2160317,58134525,125302474,22184824,1293.09,28537980,134761,1615390
2017,55400.49,2950211,10371691,59198316,9024753,978.8,2204517,59006069,137506093,28448315,1432.5,31983933,139246,1909983
2018,59982.1,3059851,11023598,59384003,9369013,1002.3,2291770,61099495,146633170,31737500,1485.05,38035167,142860,2064211
2019,65052.1,3138455,11258940,69202087,10055838,1032.4,2513711,64540005,169232237,33678876,1450.19,47497456,156427,2126665
